DATE_KEY, FULL_DATE , YEAR, MONTH, DAY, WEEKDAY, IS_WEEKEND
20110101, 2011-01-01, 2011,     1,   1,       6, True
20110102, 2011-01-02, 2011,     1,   2,       7, True
20110103, 2011-01-03, 2011,     1,   3,       1, False
20110104, 2011-01-04, 2011,     1,   4,       2, False
20110105, 2011-01-05, 2011,     1,   5,       3, False
20110106, 2011-01-06, 2011,     1,   6,       4, False
20110107, 2011-01-07, 2011,     1,   7,       5, False
20110108, 2011-01-08, 2011,     1,   8,       6, True
20110109, 2011-01-09, 2011,     1,   9,       7, True
20110110, 2011-01-10, 2011,     1,  10,       1, False
20110111, 2011-01-11, 2011,     1,  11,       2, False
20110112, 2011-01-12, 2011,     1,  12,       3, False
20110113, 2011-01-13, 2011,     1,  13,       4, False
20110114, 2011-01-14, 2011,     1,  14,       5, False
20110115, 2011-01-15, 2011,     1,  15,       6, True
20110116, 2011-01-16, 2011,     1,  16,       7, True
20110117, 2011-01-17, 2011,     1,  17,       1, False
20110118, 2011-01-18, 2011,     1,  18,       2, False
20110119, 2011-01-19, 2011,     1,  19,       3, False
20110120, 2011-01-20, 2011,     1,  20,       4, False
20110121, 2011-01-21, 2011,     1,  21,       5, False
20110122, 2011-01-22, 2011,     1,  22,       6, True
20110123, 2011-01-23, 2011,     1,  23,       7, True
20110124, 2011-01-24, 2011,     1,  24,       1, False
20110125, 2011-01-25, 2011,     1,  25,       2, False
20110126, 2011-01-26, 2011,     1,  26,       3, False
20110127, 2011-01-27, 2011,     1,  27,       4, False
20110128, 2011-01-28, 2011,     1,  28,       5, False
20110129, 2011-01-29, 2011,     1,  29,       6, True
20110130, 2011-01-30, 2011,     1,  30,       7, True
20110131, 2011-01-31, 2011,     1,  31,       1, False
20110201, 2011-02-01, 2011,     2,   1,       2, False
20110202, 2011-02-02, 2011,     2,   2,       3, False
20110203, 2011-02-03, 2011,     2,   3,       4, False
20110204, 2011-02-04, 2011,     2,   4,       5, False
20110205, 2011-02-05, 2011,     2,   5,       6, True
20110206, 2011-02-06, 2011,     2,   6,       7, True
20110207, 2011-02-07, 2011,     2,   7,       1, False
20110208, 2011-02-08, 2011,     2,   8,       2, False
20110209, 2011-02-09, 2011,     2,   9,       3, False
20110210, 2011-02-10, 2011,     2,  10,       4, False
20110211, 2011-02-11, 2011,     2,  11,       5, False
20110212, 2011-02-12, 2011,     2,  12,       6, True
20110213, 2011-02-13, 2011,     2,  13,       7, True
20110214, 2011-02-14, 2011,     2,  14,       1, False
20110215, 2011-02-15, 2011,     2,  15,       2, False
20110216, 2011-02-16, 2011,     2,  16,       3, False
20110217, 2011-02-17, 2011,     2,  17,       4, False
20110218, 2011-02-18, 2011,     2,  18,       5, False
20110219, 2011-02-19, 2011,     2,  19,       6, True
20110220, 2011-02-20, 2011,     2,  20,       7, True
20110221, 2011-02-21, 2011,     2,  21,       1, False
20110222, 2011-02-22, 2011,     2,  22,       2, False
20110223, 2011-02-23, 2011,     2,  23,       3, False
20110224, 2011-02-24, 2011,     2,  24,       4, False
20110225, 2011-02-25, 2011,     2,  25,       5, False
20110226, 2011-02-26, 2011,     2,  26,       6, True
20110227, 2011-02-27, 2011,     2,  27,       7, True
20110228, 2011-02-28, 2011,     2,  28,       1, False
20110301, 2011-03-01, 2011,     3,   1,       2, False
20110302, 2011-03-02, 2011,     3,   2,       3, False
20110303, 2011-03-03, 2011,     3,   3,       4, False
20110304, 2011-03-04, 2011,     3,   4,       5, False
20110305, 2011-03-05, 2011,     3,   5,       6, True
20110306, 2011-03-06, 2011,     3,   6,       7, True
20110307, 2011-03-07, 2011,     3,   7,       1, False
20110308, 2011-03-08, 2011,     3,   8,       2, False
20110309, 2011-03-09, 2011,     3,   9,       3, False
20110310, 2011-03-10, 2011,     3,  10,       4, False
20110311, 2011-03-11, 2011,     3,  11,       5, False
20110312, 2011-03-12, 2011,     3,  12,       6, True
20110313, 2011-03-13, 2011,     3,  13,       7, True
