HOUR_KEY, HOUR, PERIOD_OF_DAY, IS_PEAK_HOUR
       0,    0, Night        ,            0
       1,    1, Night        ,            0
       2,    2, Night        ,            0
       3,    3, Night        ,            0
       4,    4, Night        ,            0
       5,    5, Night        ,            0
       6,    6, Morning      ,            0
       7,    7, Morning      ,            1
       8,    8, Morning      ,            1
       9,    9, Morning      ,            0
      10,   10, Morning      ,            0
      11,   11, Morning      ,            0
      12,   12, Afternoon    ,            0
      13,   13, Afternoon    ,            0
      14,   14, Afternoon    ,            0
      15,   15, Afternoon    ,            0
      16,   16, Afternoon    ,            0
      17,   17, Afternoon    ,            1
      18,   18, Evening      ,            1
      19,   19, Evening      ,            0
      20,   20, Evening      ,            0
      21,   21, Evening      ,            0
      22,   22, Evening      ,            0
      23,   23, Evening      ,            0
