datetime_key, date_key, hour_key, season_key, weather_key, holiday_flag, workingday_flag, temperature, feeling_temp, humidity, windspeed, casual, registered, total_count
  2011010100, 20110101,        0,          1,           1,            0,               0,        0.24,       0.2879,     0.81,    0.0   ,      3,         13,          16
  2011010101, 20110101,        1,          1,           1,            0,               0,        0.22,       0.2727,     0.8 ,    0.0   ,      8,         32,          40
  2011010102, 20110101,        2,          1,           1,            0,               0,        0.22,       0.2727,     0.8 ,    0.0   ,      5,         27,          32
  2011010103, 20110101,        3,          1,           1,            0,               0,        0.24,       0.2879,     0.75,    0.0   ,      3,         10,          13
  2011010104, 20110101,        4,          1,           1,            0,               0,        0.24,       0.2879,     0.75,    0.0   ,      0,          1,           1
  2011010105, 20110101,        5,          1,           2,            0,               0,        0.24,       0.2576,     0.75,    0.0896,      0,          1,           1
  2011010106, 20110101,        6,          1,           1,            0,               0,        0.22,       0.2727,     0.8 ,    0.0   ,      2,          0,           2
  2011010107, 20110101,        7,          1,           1,            0,               0,        0.2 ,       0.2576,     0.86,    0.0   ,      1,          2,           3
  2011010108, 20110101,        8,          1,           1,            0,               0,        0.24,       0.2879,     0.75,    0.0   ,      1,          7,           8
  2011010109, 20110101,        9,          1,           1,            0,               0,        0.32,       0.3485,     0.76,    0.0   ,      8,          6,          14
  2011010110, 20110101,       10,          1,           1,            0,               0,        0.38,       0.3939,     0.76,    0.2537,     12,         24,          36
  2011010111, 20110101,       11,          1,           1,            0,               0,        0.36,       0.3333,     0.81,    0.2836,     26,         30,          56
  2011010112, 20110101,       12,          1,           1,            0,               0,        0.42,       0.4242,     0.77,    0.2836,     29,         55,          84
  2011010113, 20110101,       13,          1,           2,            0,               0,        0.46,       0.4545,     0.72,    0.2985,     47,         47,          94
  2011010114, 20110101,       14,          1,           2,            0,               0,        0.46,       0.4545,     0.72,    0.2836,     35,         71,         106
  2011010115, 20110101,       15,          1,           2,            0,               0,        0.44,       0.4394,     0.77,    0.2985,     40,         70,         110
  2011010116, 20110101,       16,          1,           2,            0,               0,        0.42,       0.4242,     0.82,    0.2985,     41,         52,          93
  2011010117, 20110101,       17,          1,           2,            0,               0,        0.44,       0.4394,     0.82,    0.2836,     15,         52,          67
  2011010118, 20110101,       18,          1,           3,            0,               0,        0.42,       0.4242,     0.88,    0.2537,      9,         26,          35
  2011010119, 20110101,       19,          1,           3,            0,               0,        0.42,       0.4242,     0.88,    0.2537,      6,         31,          37
  2011010120, 20110101,       20,          1,           2,            0,               0,        0.4 ,       0.4091,     0.87,    0.2537,     11,         25,          36
  2011010121, 20110101,       21,          1,           2,            0,               0,        0.4 ,       0.4091,     0.87,    0.194 ,      3,         31,          34
  2011010122, 20110101,       22,          1,           2,            0,               0,        0.4 ,       0.4091,     0.94,    0.2239,     11,         17,          28
  2011010123, 20110101,       23,          1,           2,            0,               0,        0.46,       0.4545,     0.88,    0.2985,     15,         24,          39
  2011010200, 20110102,        0,          1,           2,            0,               0,        0.46,       0.4545,     0.88,    0.2985,      4,         13,          17
  2011010201, 20110102,        1,          1,           2,            0,               0,        0.44,       0.4394,     0.94,    0.2537,      1,         16,          17
  2011010202, 20110102,        2,          1,           2,            0,               0,        0.42,       0.4242,     1.0 ,    0.2836,      1,          8,           9
  2011010203, 20110102,        3,          1,           2,            0,               0,        0.46,       0.4545,     0.94,    0.194 ,      2,          4,           6
  2011010204, 20110102,        4,          1,           2,            0,               0,        0.46,       0.4545,     0.94,    0.194 ,      2,          1,           3
  2011010206, 20110102,        6,          1,           3,            0,               0,        0.42,       0.4242,     0.77,    0.2985,      0,          2,           2
  2011010207, 20110102,        7,          1,           2,            0,               0,        0.4 ,       0.4091,     0.76,    0.194 ,      0,          1,           1
  2011010208, 20110102,        8,          1,           3,            0,               0,        0.4 ,       0.4091,     0.71,    0.2239,      0,          8,           8
  2011010209, 20110102,        9,          1,           2,            0,               0,        0.38,       0.3939,     0.76,    0.2239,      1,         19,          20
  2011010210, 20110102,       10,          1,           2,            0,               0,        0.36,       0.3485,     0.81,    0.2239,      7,         46,          53
  2011010211, 20110102,       11,          1,           2,            0,               0,        0.36,       0.3333,     0.71,    0.2537,     16,         54,          70
  2011010212, 20110102,       12,          1,           2,            0,               0,        0.36,       0.3333,     0.66,    0.2985,     20,         73,          93
  2011010213, 20110102,       13,          1,           2,            0,               0,        0.36,       0.3485,     0.66,    0.1343,     11,         64,          75
